url,slug,date,ticker,reliable_date
https://thebearcave.substack.com/p/problems-at-globe-life-gl,/p/problems-at-globe-life-gl,2024-06-06,GL,True
https://thebearcave.substack.com/p/problems-at-defi-technologies-deftf,/p/problems-at-defi-technologies-deftf,2024-06-20,,True
https://thebearcave.substack.com/p/even-more-problems-at-exp-world-holdings,/p/even-more-problems-at-exp-world-holdings,2024-07-02,,True
https://thebearcave.substack.com/p/problems-at-teleperformance-tep,/p/problems-at-teleperformance-tep,2024-07-18,,True
https://thebearcave.substack.com/p/problems-at-taskus-task,/p/problems-at-taskus-task,2024-08-01,TASK,True
https://thebearcave.substack.com/p/problems-at-five9-fivn,/p/problems-at-five9-fivn,2024-09-05,FIVN,True
https://thebearcave.substack.com/p/problems-at-verint-systems-vrnt,/p/problems-at-verint-systems-vrnt,2024-09-19,,True
https://thebearcave.substack.com/p/problems-at-roblox-rblx-4,/p/problems-at-roblox-rblx-4,2024-10-03,RBLX,True
https://thebearcave.substack.com/p/problems-at-hindenburg-research,/p/problems-at-hindenburg-research,2024-10-15,,True
https://thebearcave.substack.com/p/problems-at-the-wall-street-journal,/p/problems-at-the-wall-street-journal,2024-10-24,,True
https://thebearcave.substack.com/p/problems-at-roblox-rblx-5,/p/problems-at-roblox-rblx-5,2024-10-31,RBLX,True
https://thebearcave.substack.com/p/problems-at-viasat-vsat,/p/problems-at-viasat-vsat,2024-11-06,VSAT,True
https://thebearcave.substack.com/p/problems-at-transdigm-tdg,/p/problems-at-transdigm-tdg,2024-11-21,TDG,True
https://thebearcave.substack.com/p/problems-at-poet-technologies-poet,/p/problems-at-poet-technologies-poet,2024-12-05,POET,True
https://thebearcave.substack.com/p/problems-at-sezzle-sezl,/p/problems-at-sezzle-sezl,2025-01-02,SEZL,True
https://thebearcave.substack.com/p/problems-at-signet-jewelers-sig,/p/problems-at-signet-jewelers-sig,2025-01-16,SIG,True
https://thebearcave.substack.com/p/even-more-problems-at-b-riley-rily,/p/even-more-problems-at-b-riley-rily,2025-01-17,RILY,True
https://thebearcave.substack.com/p/problems-at-applovin-app,/p/problems-at-applovin-app,2025-02-20,APP,True
https://thebearcave.substack.com/p/problems-at-gorilla-technology-group,/p/problems-at-gorilla-technology-group,2025-03-06,,True
https://thebearcave.substack.com/p/problems-at-ibotta-ibta,/p/problems-at-ibotta-ibta,2025-03-20,IBTA,True
https://thebearcave.substack.com/p/problems-at-kindercare-learning-companies,/p/problems-at-kindercare-learning-companies,2025-04-06,,True
https://thebearcave.substack.com/p/more-problems-at-triplepoint-venture,/p/more-problems-at-triplepoint-venture,2025-04-17,,True
https://thebearcave.substack.com/p/problems-at-two-paper-products-companies,/p/problems-at-two-paper-products-companies,2025-05-15,,True
https://thebearcave.substack.com/p/more-problems-at-kindercare-klc,/p/more-problems-at-kindercare-klc,2025-06-05,KLC,True
https://thebearcave.substack.com/p/problems-at-100-long-term-underperformers,/p/problems-at-100-long-term-underperformers,2025-07-03,,True
https://thebearcave.substack.com/p/problems-at-130-long-term-underperformers,/p/problems-at-130-long-term-underperformers,2025-07-03,,True
https://thebearcave.substack.com/p/problems-at-pheton-holdings-pthl,/p/problems-at-pheton-holdings-pthl,2025-07-29,,True
https://thebearcave.substack.com/p/problems-at-fly-e-group-flye,/p/problems-at-fly-e-group-flye,2025-08-13,FLYE,True
https://thebearcave.substack.com/p/problems-at-raytech-holding-limited,/p/problems-at-raytech-holding-limited,2025-08-21,,True
https://thebearcave.substack.com/p/problems-at-gogo-gogo,/p/problems-at-gogo-gogo,2025-08-21,GOGO,True
https://thebearcave.substack.com/p/problems-at-qmmm-holdings-qmmm,/p/problems-at-qmmm-holdings-qmmm,2025-08-27,QMMM,True
https://thebearcave.substack.com/p/problems-at-draftkings-dkng,/p/problems-at-draftkings-dkng,2025-09-18,DKNG,True
https://thebearcave.substack.com/p/more-problems-at-draftkings-dkng,/p/more-problems-at-draftkings-dkng,2025-10-02,DKNG,True
https://thebearcave.substack.com/p/problems-at-better-collective-as,/p/problems-at-better-collective-as,2025-10-16,AS,True
https://thebearcave.substack.com/p/problems-at-sportradar-group-srad,/p/problems-at-sportradar-group-srad,2025-11-20,SRAD,True
https://thebearcave.substack.com/p/problems-at-pattern-group-ptrn,/p/problems-at-pattern-group-ptrn,2025-12-04,PTRN,True
https://thebearcave.substack.com/p/problems-at-serve-robotics-serv,/p/problems-at-serve-robotics-serv,2025-12-18,SERV,True
https://thebearcave.substack.com/p/problems-at-aduro-clean-technologies,/p/problems-at-aduro-clean-technologies,2026-01-15,,True
https://thebearcave.substack.com/p/even-more-problems-at-draftkings,/p/even-more-problems-at-draftkings,2026-02-05,,True
https://thebearcave.substack.com/p/problems-at-yelp-yelp,/p/problems-at-yelp-yelp,2026-02-19,YELP,True
https://thebearcave.substack.com/p/more-problems-at-serve-robotics-serv,/p/more-problems-at-serve-robotics-serv,2026-03-05,SERV,True
https://thebearcave.substack.com/p/even-more-problems-at-medical-properties,/p/even-more-problems-at-medical-properties,2026-03-19,,True
https://thebearcave.substack.com/p/more-problems-at-yelp-yelp,/p/more-problems-at-yelp-yelp,2026-04-02,YELP,True
https://thebearcave.substack.com/p/problems-at-kinsale-capital-group,/p/problems-at-kinsale-capital-group,2026-05-07,,True
https://thebearcave.substack.com/p/problems-at-ethos-technologies-life,/p/problems-at-ethos-technologies-life,2026-05-21,LIFE,True
